p,q,d,MAE
0,0,0,57818.68952208352
0,0,1,67318.28037909836
0,0,2,391228.47596055316
0,1,0,58244.07111196241
0,1,1,54702.91471218136
0,1,2,68107.01005764137
0,2,0,58029.36358657026
0,2,1,55043.72398370883
0,2,2,56887.536314519144
1,0,0,58111.22919416485
1,0,1,64304.45277093171
1,0,2,170918.26498941306
1,1,0,56135.53542933176
1,1,1,54880.302902236144
1,1,2,66105.23634415281
1,2,0,57726.4003228811
1,2,1,55037.58466760427
1,2,2,59533.12305799893
2,0,0,57745.06219027418
2,0,1,64265.816935851486
2,0,2,126489.91350579623
2,1,0,58117.275539533766
2,1,1,55275.10629507669
2,1,2,65578.80931386483
2,2,0,58187.46549525692
2,2,1,55087.642315708654
2,2,2,64859.43146750006
